Connector,name
I1,Μαγνητική επαφή πόρτας
I2,Συμβατικοί επιτηρητές παρουσίας
I3,Μαγνητική επαφή παραθύρου
I4,Μπουτόν Χωλ
I5,Μπουτόν Τουαλέτα
I6,Emergency cord
I7,Μπουτόν MUR
I8,Μπουτόν DND
I9,Μπουτόν Μπαλκόνι
I10,Μπουτόν Δεξί κομοδίνο
I11,Μπουτόν Αριστερό κομοδίνο
I12,Μπουτόν Γραφείο
I13,Μπουτόν σεναρίου Master On
I14,Μπουτόν σεναρίου Romantic
I15,Μπουτόν σεναρίου Night
I16,Μπουτόν σεναρίου TV
I17,
I18,
I19,
I20,
I21,
I22,
I23,
I24,
NI1,
NI2,
NI3,
NI4,
NI5,
NI6,
NI7,
NI8,
NI9,
NI10,
NI11,
NI12,
NI13,
NI14,
NI15,
NI16,
NI17,
NI18,
NI19,
NI20,
NI21,
NI22,
NI23,
NI24,
NI25,
NI26,
NI27,
NI28,
NI29,
NI30,
NI31,
NI32,
NI33,
NI34,
NI35,
NI36,
NI37,
NI38,
NI39,
NI40,
NI41,
NI42,
NI43,
NI44,
NI45,
NI46,
NI47,
NI48,
NI49,
NI50,
NI51,
NI52,
NI53,
NI54,
NI55,
NI56,
NI57,
NI58,
NI59,
NI60,
NI61,
NI62,
NI63,
NI64,
NAI1,
NAI2,
NAI3,
NAI4,
NAI5,
NAI6,
NAI7,
NAI8,
NAI9,
NAI10,
NAI11,
NAI12,
NAI13,
NAI14,
NAI15,
NAI16,
NAI17,
NAI18,
NAI19,
NAI20,
NAI21,
NAI22,
NAI23,
NAI24,
NAI25,
NAI26,
NAI27,
NAI28,
NAI29,
NAI30,
NAI31,
NAI32,
C1,
C2,
C3,
C4,
F1,
F2,
F3,
F4,
S1.1,
S1.2,
S1.3,
S1.4,
S1.5,
S1.6,
S1.7,
S1.8,
S2.1,
S2.2,
S2.3,
S2.4,
S2.5,
S2.6,
S2.7,
S2.8,
S3.1,
S3.2,
S3.3,
S3.4,
S3.5,
S3.6,
S3.7,
S3.8,
S4.1,
S4.2,
S4.3,
S4.4,
S4.5,
S4.6,
S4.7,
S4.8,
AI1,
AI2,
AI3,
AI4,
AI5,
AI6,
AI7,
AI8,
Q1,Κύκλωμα ρευματοδοτών
Q2,AC on/off
Q3,Κύκλωμα Φωτισμού MUR
Q4,Κύκλωμα Φωτισμού DND
Q5,Κύκλωμα Φωτισμού Χωλ
Q6,Κύκλωμα Φωτισμού Τουαλέτα
Q7,Κύκλωμα Φωτισμού Μπαλκόνι
Q8,Κύκλωμα Φωτισμού Δεξί κομοδίνο
Q9,Κύκλωμα Φωτισμού Αριστερό κομοδίνο
Q10,Κύκλωμα Φωτισμού Γραφείο
Q11,Κύκλωμα Φωτισμού Οροφή Υπνοδωμάτιο
Q12,Κύκλωμα Φωτισμού Κρυφός φωτισμός υπνοδωμάτιο
Q13,
Q14,
Q15,
Q16,
Q17,
Q18,
Q19,
Q20,
AQ1,
AQ2,
AQ3,
AQ4,
AQ5,
AQ6,
AQ7,
AQ8,
X1,
X2,
X3,
X4,
X5,
X6,
X7,
X8,
X9,
X10,
X11,
X12,
X13,
X14,
X15,
X16,
X17,
X18,
X19,
X20,
X21,
X22,
X23,
X24,
X25,
X26,
X27,
X28,
X29,
X30,
X31,
X32,
X33,
X34,
X35,
X36,
X37,
X38,
X39,
X40,
X41,
X42,
X43,
X44,
X45,
X46,
X47,
X48,
X49,
X50,
X51,
X52,
X53,
X54,
X55,
X56,
X57,
X58,
X59,
X60,
X61,
X62,
X63,
X64,
NQ1,
NQ2,
NQ3,
NQ4,
NQ5,
NQ6,
NQ7,
NQ8,
NQ9,
NQ10,
NQ11,
NQ12,
NQ13,
NQ14,
NQ15,
NQ16,
NQ17,
NQ18,
NQ19,
NQ20,
NQ21,
NQ22,
NQ23,
NQ24,
NQ25,
NQ26,
NQ27,
NQ28,
NQ29,
NQ30,
NQ31,
NQ32,
NQ33,
NQ34,
NQ35,
NQ36,
NQ37,
NQ38,
NQ39,
NQ40,
NQ41,
NQ42,
NQ43,
NQ44,
NQ45,
NQ46,
NQ47,
NQ48,
NQ49,
NQ50,
NQ51,
NQ52,
NQ53,
NQ54,
NQ55,
NQ56,
NQ57,
NQ58,
NQ59,
NQ60,
NQ61,
NQ62,
NQ63,
NQ64,
NAQ1,
NAQ2,
NAQ3,
NAQ4,
NAQ5,
NAQ6,
NAQ7,
NAQ8,
NAQ9,
NAQ10,
NAQ11,
NAQ12,
NAQ13,
NAQ14,
NAQ15,
NAQ16,
M1,
M2,
M3,
M4,
M5,
M6,
M7,
M8,Initialization Flag
M9,
M10,
M11,
M12,
M13,
M14,
M15,
M16,
M17,
M18,
M19,
M20,
M21,
M22,
M23,
M24,
M25,LOGO! displays white backlight
M26,LOGO! TD white backlight
M27,Message Character Set Flag
M28,LOGO! displays the amber backlight
M29,LOGO! displays red backlight
M30,LOGO! TD amber backlight
M31,LOGO! TD red backlight
M32,
M33,
M34,
M35,
M36,
M37,
M38,
M39,
M40,
M41,
M42,
M43,
M44,
M45,
M46,
M47,
M48,
M49,
M50,
M51,
M52,
M53,
M54,
M55,
M56,
M57,
M58,
M59,
M60,
M61,
M62,
M63,
M64,
AM1,
AM2,
AM3,
AM4,
AM5,
AM6,
AM7,
AM8,
AM9,
AM10,
AM11,
AM12,
AM13,
AM14,
AM15,
AM16,
AM17,
AM18,
AM19,
AM20,
AM21,
AM22,
AM23,
AM24,
AM25,
AM26,
AM27,
AM28,
AM29,
AM30,
AM31,
AM32,
AM33,
AM34,
AM35,
AM36,
AM37,
AM38,
AM39,
AM40,
AM41,
AM42,
AM43,
AM44,
AM45,
AM46,
AM47,
AM48,
AM49,
AM50,
AM51,
AM52,
AM53,
AM54,
AM55,
AM56,
AM57,
AM58,
AM59,
AM60,
AM61,
AM62,
AM63,
AM64,
